品牌,屏幕尺寸,效能等级,分辨率,电视类型,品牌类型,观看距离,用户优先,产品渠道,覆盖组合个数
sony,55英寸,二级效能,全高清(1920×1080),教育电视,国产品牌,3m-3.5m(56-65英寸),不选,线下同款,14
haier,58-60英寸,一级效能,不选,智慧屏,不选,3m-3.5m(56-65英寸),不选,不选,14
不选,32英寸及以下,不选,高清(1366×768),4K超清,商业显示品牌,3m-3.5m(56-65英寸),京品电视,线上专供,7
MAXHUB,78英寸及以上,一级效能,不选,OLED,互联网品牌,3m-3.5m(56-65英寸),京品电视,不选,15
haier,58-60英寸,不选,高清(1366×768),大屏,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,10
LG,39-45英寸,不选,高清(1366×768),曲面,不选,不选,京品电视,线下同款,13
VIH,70-75英寸,无效能等级,8k超高清(7680×4320),智慧屏,国产品牌,2.5m-3m(46-55英寸),新品电视,线下同款,13
sony,39-45英寸,无效能等级,全高清(1920×1080),人工智能,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,11
小米,不选,三级效能,全高清(1920×1080),超薄,不选,2m-2.5m(33-45英寸),新品电视,线上专供,7
VID^^,78英寸及以上,三级效能,不选,量子点,不选,3.5m以上(70英寸以上),新品电视,不选,13
MAXHUB,65英寸,不选,不选,商业显示,不选,3.5m以上(70英寸以上),不选,不选,11
VIH,78英寸及以上,不选,不选,不选,不选,3.5m以上(70英寸以上),不选,不选,11
华为,65英寸,不选,不选,人工智能,不选,3m-3.5m(56-65英寸),京品电视,线上专供,11
长虹,78英寸及以上,无效能等级,高清(1366×768),游戏电视,商业显示品牌,不选,新品电视,线上专供,7
sharp,32英寸及以下,无效能等级,8k超高清(7680×4320),教育电视,商业显示品牌,3.5m以上(70英寸以上),新品电视,不选,11
Hisense,55英寸,不选,不选,激光电视,不选,2m以下(≤32英寸),新品电视,线上专供,10
konka,32英寸及以下,二级效能,8k超高清(7680×4320),大屏,国产品牌,3m-3.5m(56-65英寸),新品电视,线上专供,12
华为,32英寸及以下,二级效能,高清(1366×768),超薄,互联网品牌,3.5m以上(70英寸以上),京品电视,不选,15
菲利普,32英寸及以下,二级效能,高清(1366×768),4K超清,互联网品牌,2m-2.5m(33-45英寸),新品电视,线上专供,11
VID^^,65英寸,三级效能,全高清(1920×1080),曲面,合资品牌,3.5m以上(70英寸以上),新品电视,线上专供,11
酷开,32英寸及以下,一级效能,全高清(1920×1080),游戏电视,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,9
Panasonic,32英寸及以下,三级效能,不选,4K超清,国产品牌,2m以下(≤32英寸),京品电视,线上专供,13
小米,32英寸及以下,不选,8k超高清(7680×4320),量子点,商业显示品牌,2m以下(≤32英寸),不选,线下同款,9
VIH,48-50英寸,一级效能,4k超高清(3840×2160),商业显示,互联网品牌,3.5m以上(70英寸以上),不选,线下同款,14
华为,78英寸及以上,三级效能,不选,全面屏,合资品牌,不选,京品电视,线下同款,10
Hisense,不选,无效能等级,高清(1366×768),不选,互联网品牌,2m-2.5m(33-45英寸),新品电视,线下同款,11
华为,48-50英寸,一级效能,4k超高清(3840×2160),OLED,不选,3m-3.5m(56-65英寸),新品电视,线上专供,8
tcl,58-60英寸,二级效能,高清(1366×768),教育电视,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,10
VIH,65英寸,无效能等级,高清(1366×768),激光电视,互联网品牌,3.5m以上(70英寸以上),京品电视,线上专供,9
sharp,不选,三级效能,不选,大屏,合资品牌,3m-3.5m(56-65英寸),京品电视,不选,11
创维,55英寸,三级效能,不选,智慧屏,不选,2m-2.5m(33-45英寸),新品电视,不选,10
长虹,32英寸及以下,三级效能,全高清(1920×1080),曲面,不选,不选,新品电视,不选,11
不选,70-75英寸,一级效能,4k超高清(3840×2160),游戏电视,合资品牌,不选,不选,不选,8
小米,70-75英寸,三级效能,不选,量子点,不选,3m-3.5m(56-65英寸),不选,线上专供,8
Hisense,39-45英寸,二级效能,高清(1366×768),4K超清,国产品牌,2m以下(≤32英寸),京品电视,线上专供,9
VID^^,55英寸,不选,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,不选,9
LG,70-75英寸,无效能等级,不选,超薄,商业显示品牌,不选,新品电视,线上专供,8
haier,不选,三级效能,高清(1366×768),商业显示,合资品牌,2m以下(≤32英寸),新品电视,线下同款,10
小米,55英寸,一级效能,不选,人工智能,不选,2.5m-3m(46-55英寸),新品电视,线上专供,7
创维,32英寸及以下,二级效能,高清(1366×768),全面屏,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,10
haier,65英寸,不选,不选,教育电视,商业显示品牌,2.5m-3m(46-55英寸),新品电视,不选,11
酷开,39-45英寸,无效能等级,不选,量子点,国产品牌,2m以下(≤32英寸),新品电视,线上专供,10
Hisense,不选,一级效能,8k超高清(7680×4320),OLED,合资品牌,不选,新品电视,线上专供,8
三星,55英寸,不选,不选,激光电视,互联网品牌,3m-3.5m(56-65英寸),京品电视,线下同款,13
Panasonic,65英寸,无效能等级,8k超高清(7680×4320),曲面,国产品牌,2.5m-3m(46-55英寸),京品电视,线下同款,13
不选,48-50英寸,无效能等级,8k超高清(7680×4320),人工智能,互联网品牌,不选,新品电视,不选,5
华为,不选,无效能等级,8k超高清(7680×4320),不选,商业显示品牌,2.5m-3m(46-55英寸),新品电视,不选,7
konka,不选,二级效能,4k超高清(3840×2160),游戏电视,不选,不选,不选,不选,10
菲利普,48-50英寸,不选,4k超高清(3840×2160),人工智能,合资品牌,2m以下(≤32英寸),新品电视,线上专供,10
VID^^,不选,不选,不选,智慧屏,不选,2m-2.5m(33-45英寸),不选,不选,10
华为,不选,一级效能,4k超高清(3840×2160),超薄,商业显示品牌,3m-3.5m(56-65英寸),新品电视,不选,8
MAXHUB,78英寸及以上,无效能等级,4k超高清(3840×2160),大屏,商业显示品牌,2m-2.5m(33-45英寸),不选,线上专供,10
华为,58-60英寸,无效能等级,8k超高清(7680×4320),全面屏,商业显示品牌,3m-3.5m(56-65英寸),京品电视,线上专供,11
MAXHUB,32英寸及以下,无效能等级,全高清(1920×1080),商业显示,不选,2m以下(≤32英寸),新品电视,不选,9
小米,39-45英寸,无效能等级,4k超高清(3840×2160),商业显示,合资品牌,2.5m-3m(46-55英寸),京品电视,线上专供,9
创维,32英寸及以下,无效能等级,8k超高清(7680×4320),教育电视,商业显示品牌,不选,新品电视,线上专供,7
LG,48-50英寸,无效能等级,8k超高清(7680×4320),OLED,不选,2m以下(≤32英寸),京品电视,不选,10
VIH,32英寸及以下,一级效能,4k超高清(3840×2160),不选,商业显示品牌,2m-2.5m(33-45英寸),新品电视,不选,9
不选,32英寸及以下,无效能等级,全高清(1920×1080),超薄,不选,2m-2.5m(33-45英寸),新品电视,线上专供,6
创维,70-75英寸,二级效能,不选,激光电视,合资品牌,2m以下(≤32英寸),新品电视,线下同款,8
LG,58-60英寸,二级效能,不选,OLED,合资品牌,不选,新品电视,线下同款,11
华为,39-45英寸,三级效能,不选,游戏电视,合资品牌,不选,京品电视,线上专供,11
Panasonic,58-60英寸,无效能等级,不选,大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,10
sharp,65英寸,一级效能,4k超高清(3840×2160),智慧屏,互联网品牌,不选,京品电视,线下同款,12
MAXHUB,32英寸及以下,一级效能,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,5
tcl,32英寸及以下,无效能等级,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),不选,线下同款,5
酷开,48-50英寸,二级效能,8k超高清(7680×4320),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,9
华为,65英寸,不选,高清(1366×768),教育电视,国产品牌,2m-2.5m(33-45英寸),新品电视,线下同款,12
Panasonic,55英寸,二级效能,高清(1366×768),量子点,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,8
长虹,不选,不选,全高清(1920×1080),全面屏,合资品牌,3.5m以上(70英寸以上),京品电视,线下同款,10
VID^^,48-50英寸,无效能等级,高清(1366×768),4K超清,国产品牌,不选,新品电视,线上专供,10
菲利普,39-45英寸,无效能等级,高清(1366×768),OLED,互联网品牌,2m以下(≤32英寸),京品电视,线上专供,9
菲利普,48-50英寸,无效能等级,高清(1366×768),超薄,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,7
长虹,78英寸及以上,无效能等级,不选,曲面,商业显示品牌,3.5m以上(70英寸以上),不选,线上专供,8
konka,58-60英寸,三级效能,8k超高清(7680×4320),激光电视,合资品牌,2.5m-3m(46-55英寸),新品电视,线上专供,10
菲利普,58-60英寸,不选,不选,不选,国产品牌,不选,不选,线上专供,12
LG,32英寸及以下,无效能等级,高清(1366×768),量子点,商业显示品牌,不选,新品电视,线上专供,5
VID^^,55英寸,三级效能,高清(1366×768),商业显示,不选,2m以下(≤32英寸),新品电视,线下同款,10
haier,70-75英寸,二级效能,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线下同款,8
三星,39-45英寸,三级效能,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,7
三星,32英寸及以下,无效能等级,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线下同款,8
小米,55英寸,三级效能,8k超高清(7680×4320),智慧屏,国产品牌,3.5m以上(70英寸以上),新品电视,不选,7
Hisense,65英寸,无效能等级,高清(1366×768),全面屏,国产品牌,2m以下(≤32英寸),京品电视,线上专供,6
Hisense,70-75英寸,一级效能,8k超高清(7680×4320),4K超清,互联网品牌,2m-2.5m(33-45英寸),京品电视,线上专供,10
VIH,55英寸,一级效能,不选,曲面,不选,2.5m-3m(46-55英寸),不选,不选,11
Hisense,78英寸及以上,不选,全高清(1920×1080),超薄,互联网品牌,2.5m-3m(46-55英寸),京品电视,线上专供,11
sharp,39-45英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,不选,7
Hisense,65英寸,三级效能,不选,量子点,不选,3.5m以上(70英寸以上),新品电视,线下同款,8
Hisense,48-50英寸,一级效能,8k超高清(7680×4320),激光电视,商业显示品牌,3.5m以上(70英寸以上),新品电视,线下同款,7
Panasonic,32英寸及以下,二级效能,不选,智慧屏,合资品牌,2.5m-3m(46-55英寸),新品电视,线上专供,9
酷开,78英寸及以上,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,6
创维,70-75英寸,二级效能,全高清(1920×1080),教育电视,互联网品牌,不选,新品电视,线上专供,7
Panasonic,48-50英寸,二级效能,高清(1366×768),商业显示,不选,2m以下(≤32英寸),新品电视,线上专供,7
Hisense,不选,不选,8k超高清(7680×4320),游戏电视,合资品牌,3m-3.5m(56-65英寸),新品电视,不选,7
tcl,39-45英寸,无效能等级,4k超高清(3840×2160),全面屏,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,11
酷开,55英寸,不选,不选,OLED,不选,2m以下(≤32英寸),新品电视,不选,10
konka,58-60英寸,无效能等级,全高清(1920×1080),人工智能,商业显示品牌,3m-3.5m(56-65英寸),京品电视,线下同款,9
长虹,58-60英寸,二级效能,高清(1366×768),4K超清,不选,2.5m-3m(46-55英寸),新品电视,线上专供,9
sharp,55英寸,不选,4k超高清(3840×2160),激光电视,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,8
MAXHUB,70-75英寸,无效能等级,不选,游戏电视,不选,2m以下(≤32英寸),不选,线下同款,9
sharp,78英寸及以上,无效能等级,高清(1366×768),超薄,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,7
MAXHUB,不选,二级效能,不选,曲面,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,8
小米,32英寸及以下,无效能等级,高清(1366×768),不选,商业显示品牌,不选,新品电视,线上专供,5
三星,32英寸及以下,无效能等级,8k超高清(7680×4320),智慧屏,国产品牌,2m以下(≤32英寸),新品电视,线上专供,9
酷开,48-50英寸,无效能等级,8k超高清(7680×4320),OLED,国产品牌,3.5m以上(70英寸以上),新品电视,不选,14
创维,70-75英寸,一级效能,4k超高清(3840×2160),大屏,不选,3.5m以上(70英寸以上),京品电视,线上专供,7
菲利普,78英寸及以上,无效能等级,高清(1366×768),教育电视,商业显示品牌,不选,新品电视,线上专供,6
华为,32英寸及以下,一级效能,不选,量子点,合资品牌,2m以下(≤32英寸),京品电视,线上专供,10
tcl,70-75英寸,一级效能,8k超高清(7680×4320),商业显示,合资品牌,3.5m以上(70英寸以上),新品电视,线下同款,10
三星,39-45英寸,无效能等级,4k超高清(3840×2160),曲面,不选,3m-3.5m(56-65英寸),新品电视,不选,9
菲利普,不选,一级效能,高清(1366×768),人工智能,商业显示品牌,2m以下(≤32英寸),京品电视,线上专供,6
VID^^,39-45英寸,二级效能,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),京品电视,线上专供,9
haier,58-60英寸,二级效能,高清(1366×768),全面屏,国产品牌,不选,京品电视,线下同款,11
Hisense,39-45英寸,无效能等级,高清(1366×768),超薄,国产品牌,2.5m-3m(46-55英寸),新品电视,线上专供,7
sony,78英寸及以上,不选,4k超高清(3840×2160),4K超清,不选,3m-3.5m(56-65英寸),京品电视,不选,12
tcl,32英寸及以下,无效能等级,高清(1366×768),不选,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,4
LG,70-75英寸,无效能等级,全高清(1920×1080),商业显示,不选,3.5m以上(70英寸以上),新品电视,不选,9
创维,48-50英寸,一级效能,不选,全面屏,国产品牌,2m-2.5m(33-45英寸),新品电视,线上专供,8
tcl,不选,三级效能,8k超高清(7680×4320),教育电视,国产品牌,2m-2.5m(33-45英寸),京品电视,线上专供,9
小米,65英寸,二级效能,不选,大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线下同款,7
LG,48-50英寸,不选,不选,智慧屏,合资品牌,不选,不选,不选,10
sharp,58-60英寸,不选,不选,量子点,互联网品牌,不选,新品电视,线上专供,7
MAXHUB,78英寸及以上,不选,全高清(1920×1080),游戏电视,国产品牌,3.5m以上(70英寸以上),新品电视,线上专供,8
konka,65英寸,二级效能,高清(1366×768),不选,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,9
小米,32英寸及以下,二级效能,全高清(1920×1080),人工智能,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,6
konka,70-75英寸,三级效能,高清(1366×768),超薄,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,6
Panasonic,70-75英寸,三级效能,4k超高清(3840×2160),曲面,不选,不选,新品电视,线上专供,9
酷开,65英寸,无效能等级,高清(1366×768),4K超清,合资品牌,2m以下(≤32英寸),新品电视,线下同款,8
sharp,32英寸及以下,二级效能,不选,激光电视,合资品牌,2m-2.5m(33-45英寸),新品电视,不选,10
konka,70-75英寸,不选,不选,OLED,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,8
小米,58-60英寸,无效能等级,高清(1366×768),量子点,互联网品牌,2m以下(≤32英寸),新品电视,线下同款,5
Panasonic,32英寸及以下,无效能等级,高清(1366×768),人工智能,国产品牌,3m-3.5m(56-65英寸),新品电视,线上专供,7
不选,55英寸,无效能等级,全高清(1920×1080),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,7
haier,不选,无效能等级,高清(1366×768),教育电视,不选,2m以下(≤32英寸),京品电视,不选,8
sony,78英寸及以上,不选,8k超高清(7680×4320),不选,商业显示品牌,3m-3.5m(56-65英寸),新品电视,不选,8
konka,65英寸,无效能等级,4k超高清(3840×2160),曲面,不选,不选,新品电视,不选,8
VIH,不选,一级效能,全高清(1920×1080),游戏电视,不选,不选,京品电视,不选,9
